"omitted_sample","omitted_group","genes_tested","FDR05","FDR05_abs_logFC1","logFC_spearman"
"NP1","NP",20303,11072,6395,0.992243364611637
"NP2","NP",20303,12399,7248,0.981222856959591
"NP3","NP",20303,11623,6287,0.988859242946418
"NP4","NP",20303,11570,6954,0.993000222437381
"NP5","NP",20303,11210,6436,0.991868635253982
"STC1","STC",20303,10896,6307,0.995909162372553
"STC2","STC",20303,11043,6216,0.994491947978949
"STC3","STC",20303,11338,6839,0.995155659946801
"STC4","STC",20303,10856,6325,0.996507646716674
"STC5","STC",20303,10912,6361,0.996310622115635
