"sample","group","library_size","norm_factor","effective_library_size","MDS1","MDS2"
"NP1","NP",25052802,1.02989336760389,25743780.0280857,-1.40624678430541,-0.623102112950036
"NP2","NP",28432527,1.00662563237459,28576582.7050353,-1.48953286387145,2.67093044655956
"NP3","NP",26072172,0.938284925091307,24438120.658734,-2.2194311499547,-0.673680725487911
"NP4","NP",25925329,1.02977741817097,26659274.265916,-1.09816351537625,-0.531113605128601
"NP5","NP",23712981,1.04074918780019,24629481.4786729,-1.53454230975149,-0.75790876908766
"STC1","STC",24598873,0.999368312316169,24544407.7997568,1.62283278141964,-0.0181175569043329
"STC2","STC",24173274,0.945974286575182,22829279.7576818,1.69189157862998,-0.109715229261041
"STC3","STC",25757531,1.04385920472647,26843059.7038333,1.39471054971113,-0.0819340767246315
"STC4","STC",24121264,0.994378478551445,23949511.1899561,1.53874400516548,0.0793538150533786
"STC5","STC",26517975,0.977500576967161,25882195.7618984,1.49973770833308,0.0452878139312731
