formula_id,formula_name_en,analysis,n,agreement_n,raw_agreement,cohen_kappa_unweighted
F000,SQRCD,four_state,50,45,0.9,0.8410680228862046
F000,SQRCD,collapsed_unavailable,50,49,0.98,0.9665998663994656
F001,Si-Wu-Tang,four_state,50,46,0.92,0.8435054773082942
F001,Si-Wu-Tang,collapsed_unavailable,50,50,1.0,1.0
F002,Suan-Zao-Ren-Tang,four_state,50,46,0.92,0.8435054773082942
F002,Suan-Zao-Ren-Tang,collapsed_unavailable,50,50,1.0,1.0
F003,Gui-Zhi-Tang,four_state,50,46,0.92,0.8435054773082942
F003,Gui-Zhi-Tang,collapsed_unavailable,50,50,1.0,1.0
F004,Wen-Dan-Tang,four_state,50,46,0.92,0.8435054773082942
F004,Wen-Dan-Tang,collapsed_unavailable,50,50,1.0,1.0
F005,Shen-Ling-Bai-Zhu-San,four_state,50,46,0.92,0.8435054773082942
F005,Shen-Ling-Bai-Zhu-San,collapsed_unavailable,50,50,1.0,1.0
F007,Xue-Fu-Zhu-Yu-Tang,four_state,50,46,0.92,0.8435054773082942
F007,Xue-Fu-Zhu-Yu-Tang,collapsed_unavailable,50,50,1.0,1.0
F009,Xiao-Chai-Hu-Tang,four_state,50,46,0.92,0.8435054773082942
F009,Xiao-Chai-Hu-Tang,collapsed_unavailable,50,50,1.0,1.0
F010,Bu-Zhong-Yi-Qi-Tang,four_state,50,46,0.92,0.8435054773082942
F010,Bu-Zhong-Yi-Qi-Tang,collapsed_unavailable,50,50,1.0,1.0
F012,Du-Huo-Ji-Sheng-Tang,four_state,50,46,0.92,0.8435054773082942
F012,Du-Huo-Ji-Sheng-Tang,collapsed_unavailable,50,50,1.0,1.0
F013,Liu-Wei-Di-Huang-Wan,four_state,50,46,0.92,0.8435054773082942
F013,Liu-Wei-Di-Huang-Wan,collapsed_unavailable,50,50,1.0,1.0
F015,Bao-He-Wan,four_state,50,46,0.92,0.8435054773082942
F015,Bao-He-Wan,collapsed_unavailable,50,50,1.0,1.0
F018,Yi-Guan-Jian,four_state,50,46,0.92,0.8435054773082942
F018,Yi-Guan-Jian,collapsed_unavailable,50,50,1.0,1.0
F019,Tian-Wang-Bu-Xin-Dan,four_state,50,46,0.92,0.8435054773082942
F019,Tian-Wang-Bu-Xin-Dan,collapsed_unavailable,50,50,1.0,1.0
F020,Yang-Xin-Tang,four_state,50,46,0.92,0.8435054773082942
F020,Yang-Xin-Tang,collapsed_unavailable,50,50,1.0,1.0
