formula_id,formula_name_en,formula_size,entity_representation,status,compound_nodes,compound_fdi,multiherb_fraction,note
F001,Si-Wu-Tang,4,ETCM_native_record_id,estimated,826.0,0.477930790960452,0.10411622276029056,ETCM-native identifiers retained
F001,Si-Wu-Tang,4,normalized_compound_name,estimated,803.0,0.47755811540058113,0.10585305105853052,"Unicode, case, whitespace and punctuation normalization of ETCM compound labels; no salt or stereochemistry collapse"
F001,Si-Wu-Tang,4,PubChem_CID,not estimable,,,,Uniform identifier coverage is absent from the retained ETCM external-benchmark export; no cross-formula imputation was performed.
F001,Si-Wu-Tang,4,parent_InChIKey,not estimable,,,,Uniform identifier coverage is absent from the retained ETCM external-benchmark export; no cross-formula imputation was performed.
F002,Suan-Zao-Ren-Tang,5,ETCM_native_record_id,estimated,1354.0,0.4929837518463811,0.03249630723781388,ETCM-native identifiers retained
F002,Suan-Zao-Ren-Tang,5,normalized_compound_name,estimated,1332.0,0.49286786786786785,0.03303303303303303,"Unicode, case, whitespace and punctuation normalization of ETCM compound labels; no salt or stereochemistry collapse"
F002,Suan-Zao-Ren-Tang,5,PubChem_CID,not estimable,,,,Uniform identifier coverage is absent from the retained ETCM external-benchmark export; no cross-formula imputation was performed.
F002,Suan-Zao-Ren-Tang,5,parent_InChIKey,not estimable,,,,Uniform identifier coverage is absent from the retained ETCM external-benchmark export; no cross-formula imputation was performed.
F003,Gui-Zhi-Tang,5,ETCM_native_record_id,estimated,1093.0,0.4950960658737421,0.021957913998170174,ETCM-native identifiers retained
F003,Gui-Zhi-Tang,5,normalized_compound_name,estimated,1069.0,0.4949859681945744,0.02245088868101029,"Unicode, case, whitespace and punctuation normalization of ETCM compound labels; no salt or stereochemistry collapse"
F003,Gui-Zhi-Tang,5,PubChem_CID,not estimable,,,,Uniform identifier coverage is absent from the retained ETCM external-benchmark export; no cross-formula imputation was performed.
F003,Gui-Zhi-Tang,5,parent_InChIKey,not estimable,,,,Uniform identifier coverage is absent from the retained ETCM external-benchmark export; no cross-formula imputation was performed.
F004,Wen-Dan-Tang,8,ETCM_native_record_id,estimated,1173.0,0.49496483375959077,0.026427962489343565,ETCM-native identifiers retained
F004,Wen-Dan-Tang,8,normalized_compound_name,estimated,1152.0,0.494873046875,0.026909722222222224,"Unicode, case, whitespace and punctuation normalization of ETCM compound labels; no salt or stereochemistry collapse"
F004,Wen-Dan-Tang,8,PubChem_CID,not estimable,,,,Uniform identifier coverage is absent from the retained ETCM external-benchmark export; no cross-formula imputation was performed.
