n_removed,fraction_removed,mean_target_retention,mean_compound_retention
0,0.0,0.0,0.0
1,0.0625,0.16546762589928057,0.08908073014678208
2,0.125,0.2906474820143885,0.170060218291306
3,0.1875,0.3895426515930113,0.24538214420130117
4,0.25,0.4708395920626137,0.31637288191672835
5,0.3125,0.5399784567950036,0.3838912624196779
6,0.375,0.6004301453941742,0.448539933908771
7,0.4375,0.6544630728983246,0.5107614534505766
8,0.5,0.7035960043154287,0.5708921238089473
9,0.5625,0.7488667807013131,0.6291947843274528
10,0.625,0.7909976713933549,0.685879936773802
11,0.6875,0.8305037288850238,0.7411198527353967
12,0.75,0.8677682030200016,0.7950582537522696
13,0.8125,0.903096094552929,0.8478170869401579
14,0.875,0.9367505995203838,0.8995013172751225
15,0.9375,0.9689748201438849,0.950202295822356
16,1.0,1.0,1.0
