herb,crude_mass_g,target_shapley,target_unique_component,target_redundant_component,compound_shapley,compound_unique_component,compound_redundant_component,herb_target_degree,herb_compound_degree
Nanshashen,30,0.0007194244604316547,0.0,0.0007194244604316547,0.04218623554340528,0.03387278885961611,0.008313446683789173,1,155
Baizhu,30,0.0028776978417266188,0.0,0.0028776978417266188,0.05532255871924671,0.04516371847948814,0.01015884023975857,3,208
Fuling,15,0.0,0.0,0.0,0.06962039340661848,0.05269100489273617,0.01692938851388231,0,280
Gancao,6,0.09669978303071829,0.04316546762589928,0.053534315404819004,0.1572173738526768,0.14188934888972526,0.015328024962951547,42,500
Chenpi,15,0.034740778805527006,0.007194244604316547,0.02754653420121046,0.05064100475278496,0.036130974783590515,0.014510029969194448,16,213
Banxia,15,0.05946956720338015,0.04316546762589928,0.016304099577480864,0.06790507510304274,0.05043281896876176,0.017472256134280974,18,280
Chaihu,15,0.15317460317460319,0.07913669064748201,0.07403791252712118,0.14983152276151898,0.11893112532931878,0.030900397432200202,52,559
Baishao,30,0.041506794564348526,0.02158273381294964,0.019924060751398884,0.08898819785157759,0.07301467820850584,0.015973519643071754,15,328
Zhike,15,0.004556354916067146,0.0,0.004556354916067146,0.025482095372949723,0.018065487391795258,0.007416607981154465,3,114
Huangqi,60,0.16876213315062236,0.08633093525179857,0.08243119789882379,0.08947433509909987,0.06736921339856981,0.022105121700530056,58,356
Beishashen,30,0.13320200982071487,0.04316546762589928,0.09003654219481558,0.05130098647223223,0.04403462551750094,0.0072663609547312935,53,175
Doukou,10,0.07104031060865594,0.02158273381294964,0.049457576795706296,0.04626966204873619,0.036883703424915315,0.009385958623820877,37,169
Yiyiren,20,0.01079136690647482,0.007194244604316547,0.0035971223021582736,0.024864230613195613,0.017689123071132858,0.007175107542062756,2,113
Kuxingren,10,0.1628782688135206,0.11510791366906475,0.04777035514445585,0.04872765652780707,0.03575461046292811,0.012973046064878958,39,205
Yuliren,30,0.021271554185223248,0.0,0.021271554185223248,0.004784008698197633,0.003387278885961611,0.0013967298122360217,19,22
Baiziren,30,0.03830935251798561,0.02877697841726619,0.009532374100719422,0.02738466317691007,0.021452766277756868,0.005931896899153202,10,110
